Type;Name;hpMod;mpMod;strMod;magMod;tecMod;defMod;speMod;preMod;evaMod;rarity;description;Tags;Price;isHeavy;ability1;ability2
WeaponEquipment;Goblin knife;;;;;;;3;1;;Common;A weapon for a quick little rascal [+3 SPE, +1 PRE];Goblin,Knife;2;NO;Slash;Stab
FeetEquipment;Gobo boots;;;;;;;2;;;Common;They feel like they could fall apart at any moment [+2 SPE];Goblin;1;;;
HeadEquipment;Gobo hat;;;;;;;;;;Common;Does nothing, some people might find it fashionable. I say just sell it. Unless you like it.;Goblin;5;;;
WeaponEquipment;Fluid weapon;;2;;;;3;;;;Common;Some people say it feels good to touch... love it or hate it type of thing [+2 MP, +3 DEF];;2;NO;Slime strike;Conjure fluid
AccesoryEquipment;Slime core;5;2;;3;;;;;;Common;Raises a lot of philosophical questions about existance, don't think too hard [+5 HP, +2 MP, +3 MAG];Core;3;;;
WeaponEquipment;Rat fang;;;2;;;;;1;;Common;Wow, you really just pulled it out huh [+2 STR];Beast,Knife;1;NO;Stab;
ChestEquipment;Rat fur;;;1;;;1;1;;;Common;Will cover you just fine, maybe not the most hygenic though [+1 STR, +1 DEF, +1 SPE];Pelt;5;;;
HeadEquipment;Helmet;;;;;;3;;;;Common;Really worn out helmet [+3 DEF];;2;;;
FeetEquipment;Kobold sandals;;;;;;;3;;1;Common;Great for running away [+3 SPE, +1 EVA];Draconic;3;;;
AccBabyDracoSoul;Baby draco soul;;5;;5;;;;;;Uncommon;Fire abilies deal +3 damage [+5 MP, +5 MAG];Core,Draconic;7;;;
WeaponEquipment;Spear;;;;;3;;3;1;1;Common;Classic weapon for keeping your distance [+3 TEC, +3 SPE, +1 PRE, +1 EVA] [2 Hands];Spear;3;YES;Stab;Pierce flurry
WeaponEquipment;Baby breath weapon;3;3;;2;;;;;;Uncommon;Lets you shoot a really energy inefficient fire breath [+3 HP, +3MP, +2 MAG];Draconic;7;NO;Baby fire breath;
ChestEquipment;Wolf fur;4;;1;;;1;;;;Common;Keeps you nice and warm, sells for a good price [+4 HP, +1 STR, +1 DEF];Pelt;5;;;
WeaponEquipment;Wolf fang;;;2;;;;;1;;Common;Not quite a fang yet, but still does a good job [+2 STR, +1 PRE];Beast,Knife;1;NO;Stab;Tear
AccGloves;Gloves;;;;;1;;;1;;Uncommon;Gives +2 precision when using a 2 handed weapon [+1 TEC, +1 PRE];;3;;;
WeaponEquipment;Old bow;;;;;;;;;1;Uncommon;Requires great technique [+1 EVA];;3;YES;Shoot arrow;
WeaponEquipment;Old greatsword;;;;;;3;;;;Uncommon;Requieres great strength [+3 DEF];;3;YES;Heavy slam;Slash
SpikeChest;Spiked chestplate;;;;;;2;;;1;Uncommon;When you take damage from an enemy, deal 3 damage to it [+2 DEF, +1 EVA];;5;;;
AccMagicScarf;Magic scarf;;;;;;;;;;Uncommon;Give your attacks scaled power equal to 10% of MAG;;5;;;
FeetArcaneBoots;Arcane boots;;;;;;;;;;Uncommon;Gain 10% of your MAG as SPE;;6;;;
AccSnackPouch;Snack pouch;;;;;;;;;;Uncommon;After every battle, recover 5 HP;;1;;;
WeaponBloodSword;Blood sword;;;;;;;;;;Rare;Gains +4 STR after every battle [2 Hands];;10;YES;Slash;Blood strike
WeaponEquipment;Refined wooden sword;;;20;;10;;;;;Epic;Perfect weapon for a true warrior [+20 STR, +10 TEC];Sword;70;NO;Slash;
ChestEquipment;Diamond chestplate;;;;;;30;;;;Legendary;Cuidao q boi full diamante [+30 DEF];Diamond;100;;;
AccBloodlustAmulet;Bloodlust amulet;;;;;;;;;;Rare;When you deal damage, give the enemy 2 Bleed;Bleed;9;;;
HeadEquipment;Beast skull;20;;;;;;;;;Uncommon;Looks evil af [+20 HP];Beast;3;;;
WeaponEquipment;Big wolf fang;;;4;;;;;2;;Uncommon;More effective than the fang, can Bleed the enemy [+4 STR, +2 PRE];Beast,Knife;7;NO;Wound;
HeadRatCrown;Rat crown;7;5;;;;;;;;Uncommon;If you're holding a Beast weapon, +5 STR [+7 HP, +5 MP];;9;;;
LegsKingBelt;King belt;5;5;;;;;;;;Uncommon;If you're holding a Beast weapon, +10 MAG [+5 HP, +5 MP];;9;;;
WeaponEquipment;Big rat fang;;2;1;3;;;;1;;Uncommon;Inflicts poisonous attacks [+2 MP, +1 STR, +3 MAG, +1 PRE];Beast,Knife;7;NO;Poison cut;
WeaponEquipment;Troll stick;;;7;5;;4;;;;Uncommon;Unga unga weapon [+7 STR, +5 MAG, +4 DEF] [2 Hands];Big;10;YES;Heavy slam;Haze strike
LegsTrollRags;Troll rags;10;5;;;;;;;;Uncommon;If the enemy is poisioned when you attack, you gain +10 STR [+10 HP, +5 MP];;9;;;
HeadMagicHat;Magician's hat;;15;;10;;;;2;;Epic;Heal HP equal to 10% of the attack's magic scaling [+15 MP, +10 MAG, +2 PRE];Boss,Hat;40;;;
ChestMagicRobes;Magician's robes;;10;;15;;;;;;Epic;Take 20% less damage from attacks with magic scaling [+10 MP, +15 MAG];Boss,Robe;40;;;
AccQualMagicScarf;Quality magic scarf;;10;;;;;;;;Epic;Give your attacks scaled power equal to 25% of MAG [+10 MP];Boss;40;;;
WeaponEquipment;Wonder staff;;30;;15;;;;;;Epic;Wielded by The Magician [+30 MP, +15 MAG] [2 Hands];Boss,Staff;40;YES;Mana drain;
WeaponEquipment;Wonder wand;;15;;8;;;;;;Epic;Wielded by The Magician [+15 MP, +8 MAG];Boss,Wand;40;NO;Arcane blast;Magic cut
ArcanaTheMagician;The Magician;;30;-10;;;;;;;Common;Gain MAG equal to the difference between MAG and STR [-10 STR];Boss;0;;;
HeadChariotHelm;Chariot's helm;10;;;;;7;;;;Epic;If you're holding a Spear weapon, +15 STR [+10 HP, +7 DEF, +5 SPE];Boss;40;;;
ChestChariotPlate;Chariot's plate;15;;;;;10;;;;Epic;Increase your DEF by 20% [+15 HP, +10 DEF];Boss;40;;;
LegsChariotBraces;Chariot's kneebraces;10;;;;;7;3;;2;Epic;Whenever you take 10 damage or less, this permanently gains +1 STR and +1 TEC [+10 HP, +7 DEF, +3 SPE];Boss;40;;;
FeetChariotBoots;Chariot's boots;10;;;;;7;5;;;Epic;Reduce all damage by 4 [+10 HP, +7 DEF, +5 SPE];Boss;40;;;
WeaponEquipment;Rocket lance;;;3;;3;5;2;;;Epic;Wielded by The Chariot [+3 STR, +3 TEC, +5 DEF, +2 SPE];Boss,Spear;40;YES;Rocket charge;Slash
ArcanaTheChariot;The Chariot;30;;;;;5;7;;;Common;When you take damage, gain +1 SPE. If you go first gain STR equal to the SPE difference [+30 HP, +5 DEF, +7 SPE];Boss;0;;;
ChestFeyWings;Fey wings;;;;;;;3;;2;Uncommon;Gain speed equal to the enemy's burn [+3 SPE, +2 EVA];Fey,Burn;6;;;
AccFirefeyCore;Firefey core;;10;;3;;;;1;;Rare;When you hit an attack, 30% chance to Burn 3 for 3 turns [+10 MP, +3 MAG, +1 PRE];Fey,Burn;9;;;
WeaponEquipment;Firefey wand;;;;3;;;;1;1;Uncommon;Used by the little spirits of fire, has burn properties [+3 MAG, +1 PRE, +1 EVA];Fey,Wand,Burn;6;NO;Faerie fire;Will o' wisp
ChestHermitTunic;Hermit's tunic;;;;;;;;;;Epic;When you take damage, inflict Bleed 2;Boss,Robe;40;;;
AccRosary;Rosary;;;;;;;;;;Epic;At the end of the first turn, Burn 2 for 10 turns;Boss,Burn;40;;;
AccHerb;Herb;;;;;;;;;;Epic;At the end of the first turn, poison the enemy;Boss,Poison;40;;;
WeaponEquipment;Old tree wand;;15;;7;5;;;;;Epic;Wielded by The Hermit [+15 MP, +7 MAG, +5 TEC];Boss,Wand;40;NO;Mana drain;Haze strike
ArcanaTheHermit;The Hermit;;;;;;;;;;Common;If you have less than 10 gold, gain 30% MAG;Boss;0;;;
