Monster name;HP;MP;STR;MAG;TEC;DEF;SPE;PREC;EVA;HEAD;CHEST;LEGS;FEET;ACC1;ACC2;W1;W2;Arcana
Goblin;30;0;4;0;12;19;9;5;0;Gobo hat;;;Gobo boots;;;Goblin knife;;
Slime;35;10;5;12;2;25;5;4;-1;;;;;Slime core;;Fluid weapon;;
Rat;26;0;6;0;12;15;10;7;2;;Rat fur;;;;;Rat fang;;
Wolf cub;28;0;8;0;8;17;8;6;1;;Wolf fur;;;;;Wolf fang;;
Kobold;30;30;7;2;10;28;8;8;1;Helmet;;;Kobold sandals;Baby draco soul;;Spear;Baby breath weapon;
Skeleton archer;33;10;7;10;12;15;6;7;0;Helmet;;;;Gloves;;Old bow;;
Skeleton warrior;33;0;12;10;7;15;7;6;1;Helmet;;;;Gloves;;Old greatsword;;
Dire wolf;40;0;13;0;13;30;10;6;5;Beast skull;Wolf fur;;;Bloodlust amulet;;Wolf fang;Big wolf fang;
King rat;40;0;12;0;14;35;11;10;5;Rat crown;Rat fur;King belt;;;;Rat fang;Big rat fang;
Small troll;50;20;10;10;10;40;7;6;5;;;Troll rags;;;;Troll stick;;
Firefey;30;50;5;12;9;28;12;8;8;;Fey wings;;;Firefey core;;Firefey wand;;
The Magician;80;-40;86;0;12;40;12;7;5;Magician's hat;Magician's robes;;;Quality magic scarf;;Wonder staff;Wonder wand;The Magician
The Chariot;10;50;0;10;0;1;5;10;5;Chariot's helm;Chariot's plate;Chariot's kneebraces;Chariot's boots;;;Rocket lance;;The Chariot
The Hermit;65;100;10;18;18;40;10;8;7;;Hermit's tunic;;;Rosary;Herb;Old tree wand;;The Hermit
